Time,Object,Value,CD,Suic
2000,combat_deaths,0,0,153
2001,combat_deaths,0,0,155
2002,combat_deaths,0,0,174
2003,combat_deaths,312,312,190
2004,combat_deaths,735,735,197
2005,combat_deaths,739,739,182
2006,combat_deaths,769,769,213
2007,combat_deaths,847,847,211
2008,combat_deaths,352,352,268
2009,combat_deaths,346,346,309
2010,combat_deaths,456,456,295
2011,combat_deaths,394,394,301
2012,combat_deaths,259,259,525
2013,combat_deaths,0,0,475
2014,combat_deaths,0,0,444
2015,combat_deaths,0,0,478
2016,combat_deaths,0,0,478